TF	target
Klf1	DDX11L1
KLF5	DDX11L1
NRF1	DDX11L1
ZIC4	LINC01128
ZIC3	LINC01128
ZIC1	LINC01128
ZBTB18	LINC00115
FOXC2	LOC101928626
TP63	LOC101928626
TP73	LOC101928626
TP53	LOC101928626
TBX21	LINC00115
MAFF	LOC101928626
MAFG	LOC101928626
REST	LOC101928626
HNF1A	LOC101928626
MAFK	LOC101928626
IRF1	LOC101928626
Hoxd3	LOC101928626
ID4	LINC00115
TCF3	LINC00115
FIGLA	LINC00115
TCF4	LINC00115
ZNF143	LINC00115
RFX4	LOC101928626
ZNF384	LOC101928626
PKNOX1	LINC00115
PKNOX2	LINC00115
TGIF1	LINC00115
TBR1	LINC00115
SMAD2	LINC00115
Foxd3	LOC101928626
TBX5	LINC00115
MGA	LINC00115
TBX4	LINC00115
TBX1	LINC00115
TBX15	LINC00115
FOSL2	LINC00115
Zfx	LINC00115
SNAI2	LINC00115
IRF7	LOC101928626
Rhox11	LOC101928626
SP2	C1orf159
PPARA	C1orf159
ESR1	C1orf159
RXRB	C1orf159
Rxra	C1orf159
RXRG	C1orf159
Nr2f6	C1orf159
E2F6	C1orf159
INSM1	C1orf159
Klf1	C1orf159
GLIS2	C1orf159
Tcf12	C1orf159
Myog	C1orf159
HNF4G	C1orf159
Pparg	C1orf159
NR2C2	C1orf159
TFAP2B	C1orf159
TFAP2C	C1orf159
TFAP2A(var	C1orf159
ASCL1	C1orf159
ZEB1	C1orf159
ZNF740	C1orf159
ID4	C1orf159
TCF3	C1orf159
Ascl2	C1orf159
NHLH1	C1orf159
TCF4	C1orf159
HES7	C1orf159
HES5	C1orf159
Myod1	C1orf159
MSC	C1orf159
TFAP2A	C1orf159
RARA	C1orf159
EGR4	C1orf159
ESR2	C1orf159
SP1	C1orf159
SP3	C1orf159
KLF16	C1orf159
MZF1	C1orf159
RREB1	C1orf159
KLF5	C1orf159
Nr5a2	C1orf159
TFAP2B(var	C1orf159
NRF1	C1orf159
Hnf4a	C1orf159
ZNF263	C1orf159
Zfx	C1orf159
NR2F1	C1orf159
ZIC3	C1orf159
SNAI2	C1orf159
GLIS1	C1orf159
NR1H2	C1orf159
SP2	SDF4
MYC	B3GALT6
MYCN	B3GALT6
USF2	B3GALT6
KLF4	B3GALT6
Klf1	B3GALT6
GLIS2	B3GALT6
KLF9	B3GALT6
GCM2	SDF4
GCM2	B3GALT6
Tcf12	B3GALT6
Myog	B3GALT6
Arntl	B3GALT6
ZEB1	B3GALT6
ZNF740	B3GALT6
Arnt	B3GALT6
ID4	B3GALT6
CTCFL	B3GALT6
EGR1	SDF4
EGR1	B3GALT6
TP73	SDF4
TP73	B3GALT6
EGR2	SDF4
EGR2	B3GALT6
EGR4	SDF4
EGR4	B3GALT6
ZSCAN4	SDF4
ZSCAN4	B3GALT6
SP1	SDF4
SP3	B3GALT6
KLF16	B3GALT6
MZF1	SDF4
ARNT	SDF4
ARNT	B3GALT6
NEUROD1	B3GALT6
Ahr	SDF4
Ahr	B3GALT6
TFAP2C(var	SDF4
TFAP2B(var	SDF4
TFAP2A(var	SDF4
Creb3l2	B3GALT6
KLF5	SDF4
MXI1	B3GALT6
PLAG1	SDF4
Id2	B3GALT6
Zfx	SDF4
ZIC3	B3GALT6
PKNOX2	B3GALT6
SNAI2	B3GALT6
EGR3	SDF4
EGR3	B3GALT6
HIF1A	SDF4
HIF1A	B3GALT6
RELB	SDF4
FOXC2	PUSL1
MEF2A	PUSL1
MEF2D	PUSL1
MEF2B	PUSL1
THAP1	PUSL1
HIC2	PUSL1
TFE3	PUSL1
Nr2f6(var	PUSL1
MEF2C	PUSL1
ZSCAN4	PUSL1
Rarg	PUSL1
RARA	PUSL1
Foxd3	PUSL1
Rarb	PUSL1
NR2F1	PUSL1
YY1	PUSL1
Foxq1	PUSL1
IRF3	TAS1R3
Stat5a	TAS1R3
HSF1	TAS1R3
HSF2	TAS1R3
MZF1	TAS1R3
PLAG1	TAS1R3
SP2	TAS1R3
INSM1	TAS1R3
EGR1	TAS1R3
RARA	TAS1R3
EGR2	TAS1R3
EGR4	TAS1R3
SP1	TAS1R3
SP3	TAS1R3
KLF16	TAS1R3
RREB1	TAS1R3
SP4	TAS1R3
Hnf4a	TAS1R3
NR2C2	TAS1R3
EGR3	TAS1R3
SP2	AURKAIP1
TBX21	AURKAIP1
Stat4	AURKAIP1
NFKB1	AURKAIP1
NFKB2	AURKAIP1
THAP1	AURKAIP1
TFAP2B	AURKAIP1
TFAP2C	AURKAIP1
TFAP2A(var	AURKAIP1
